pub_date	title	citation	venue	url_slug	paper_url
2021-01-01	Mixseq: mixture sequencing using compressed sensing for in-situ and in-vitro applications 	AM Zador, <b>AG Vaughan</b>	US Patent App. PCT/US2020/066,853 (2021)	https://agvaughan.github.io/files/Vaughan_MIXSEQ_WO2021133911A1.pdf
2021-01-01	Barcode demixing through non-negative spatial regression (bardensr) 	S Chen, J Loper, X Chen, <b>AG Vaughan</b>, AM Zador, L Paninski	PLoS computational biology 17 (3), e1008256 5 (2021)	https://agvaughan.github.io/files/Chen_Vaughan_Paninski.pdf
2019-01-01	Frontal cortex neuron types categorically encode single decision variables 	J Hirokawa, <b>AG Vaughan</b>, P Masset, T Ott, A Kepecs	Nature 576 (7787), 446-451 75 (2019)	https://agvaughan.github.io/files/Hirokawa_Vaughan_2019.pdf
2018-01-01	A viral receptor complementation strategy to overcome CAV-2 tropism for efficient retrograde targeting of neurons 	SJ Li, <b>AG Vaughan</b>, JF Sturgill, A Kepecs	Neuron 98 (5), 905-917. e541 (2018)	https://agvaughan.github.io/files/Li_Vaughan_Sturgill_Kepecs_2018.pdf
2017-01-01	Rapid and tunable method to temporally control gene editing based on conditional Cas9 stabilization 	S Senturk, NH Shirole, DG Nowak, V Corbo, D Pal, <b>AG Vaughan</b>, ...	Nature Communications 8 (1), 1-10 104 (2017)	https://agvaughan.github.io/files/Senturk_2016.pdf
2016-01-01	A mechanosensory circuit that mixes opponent channels to produce selectivity for complex stimulus features 	AEB Chang, <b>AG Vaughan</b>, RI Wilson	Neuron 92 (4), 888-901 22 (2016)	https://agvaughan.github.io/files/Chang_Vaughan_Wilson_2016.pdf
2015-01-01	Central neural circuitry mediating courtship song perception in male Drosophila 	C Zhou, R Franconville, <b>AG Vaughan</b>, CC Robinett, V Jayaraman, B Baker	Elife 4, e08477 68 (2015)	https://agvaughan.github.io/files/Zhou_2016.pdf
2014-01-01	Neural pathways for the detection and discrimination of conspecific song in D. melanogaster 	<b>AG Vaughan</b>, C Zhou, DS Manoli, BS Baker	Current Biology 24 (10), 1039-1049 68 (2014)	https://agvaughan.github.io/files/Vaughan_2014.pdf
2010-01-01	Sex and the single cell. II. There is a time and place for sex 	CC Robinett, <b>AG Vaughan</b>, JM Knapp, BS Baker	PLoS biology 8 (5), e1000365 193 (2010)	https://agvaughan.github.io/files/Robinett_Vaughan.pdf
2009-01-01	Manipulation of an innate escape response in Drosophila: photoexcitation of acj6 neurons induces the escape response 	G Zimmermann, L Wang, <b>AG Vaughan</b>, DS Manoli, F Zhang, K Deisseroth, ...	PloS one 4 (4), e5100 27 (2009)	https://agvaughan.github.io/files/Zimmerman.pdf
